seed,round,honest_c
101,3,0.48739073599999994
101,4,0.494769284224
101,5,0.5022767356764158
101,6,0.5098369399055932
101,7,0.5173971912671038
101,8,0.5249211858868301
101,9,0.5323840916886409
101,10,0.5397690975648224
101,11,0.5470649979440254
101,12,0.5542645021350892
101,13,0.5613630510116452
101,14,0.5683579888329613
101,15,0.5752479836578854
101,16,0.5820326217717356
101,17,0.588712123920051
101,18,0.5952871468049945
101,19,0.6017586442634798
101,20,0.6081277702204193
101,21,0.6143958108825014
101,22,0.6205641373983076
101,23,0.5895359305283921
101,24,0.5961024172828862
101,25,0.6025641217564239
101,26,0.6089226360133658
101,27,0.6151795519806831
101,28,0.6213364538494641
101,29,0.6273949128782028
101,30,0.633356483875383
101,31,0.6392227028556385
101,32,0.6449950855155318
101,33,0.6506751262811914
101,34,0.6562642977544281
101,35,0.6617640504359723
101,36,0.6671758126409274
101,37,0.6725009905470238
101,38,0.6777409683341173
101,39,0.6828971083858638
101,40,0.6879707515332545
101,41,0.6929632173258173
101,42,0.6978758043205711
101,43,0.7027097903818187
101,44,0.707466432986973
101,45,0.7121469695350661
101,46,0.7167526176556241
101,47,0.7212845755163177
101,48,0.725744022128285
101,49,0.7301321176483921
101,50,0.7344500036779299
101,51,0.7386988035574212
101,52,0.7428796226573394
101,53,0.7057356415244727
101,54,0.7104438712298666
101,55,0.715076769269039
101,56,0.7196355409459294
101,57,0.7241213722804309
101,58,0.7285354303166897
101,59,0.7328788634265444
101,60,0.737152801608165
101,61,0.7413583567799462
101,62,0.7454966230697251
101,63,0.7495686770993902
101,64,0.7535755782649466
101,65,0.7575183690121101
101,66,0.7613980751074981
101,67,0.7652157059054852
101,68,0.7689722546107925
101,69,0.7726686985368764
101,70,0.7763059993601861
101,71,0.7798851033703527
101,72,0.7834069417163777
101,73,0.7868724306488812
101,74,0.7902824717584752
101,75,0.7936379522103229
101,76,0.7969397449749457
101,77,0.8001887090553381
101,78,0.8033856897104471
101,79,0.8065315186750759
101,80,0.8096270143762718
101,81,0.8126729821462495
101,82,0.815670214431908
101,83,0.8186194910009965
101,84,0.8215215791449799
101,85,0.8243772338786599
101,86,0.827187198136601
101,87,0.8299522029664151
101,88,0.8326729677189523
101,89,0.7910393193330044
101,90,0.7943826902236764
101,91,0.7976725671800973
101,92,0.8009098061052157
101,93,0.804095249207532
101,94,0.8072297252202117
101,95,0.7668682389592011
101,96,0.7705983471358537
101,97,0.77426877358168
101,98,0.7778804732043733
101,99,0.7814343856331033
