seed,round,honest_r_eff,attacker_r_eff
46,51,0.655174,0.01
46,52,0.660691,0.01
46,53,0.66612,0.01
46,54,0.671462,0.01
46,55,0.637889,0.01
46,56,0.643683,0.01
46,57,0.649384,0.01
46,58,0.654994,0.01
46,59,0.660514,0.01
46,60,0.665946,0.01
46,61,0.671291,0.01
46,62,0.67655,0.01
46,63,0.681725,0.01
46,64,0.686817,0.01
46,65,0.691828,0.01
46,66,0.696759,0.01
46,67,0.701611,0.01
46,68,0.706385,0.01
46,69,0.711083,0.01
46,70,0.715706,0.01
46,71,0.720254,0.01
46,72,0.72473,0.01
46,73,0.729135,0.01
46,74,0.733469,0.01
46,75,0.737733,0.01
46,76,0.741929,0.01
46,77,0.746058,0.01
46,78,0.750122,0.01
46,79,0.75412,0.01
46,80,0.758054,0.01
46,81,0.761925,0.01
46,82,0.765734,0.01
46,83,0.769482,0.01
46,84,0.773171,0.01
46,85,0.7768,0.01
46,86,0.780371,0.01
46,87,0.783885,0.01
46,88,0.787343,0.01
46,89,0.790745,0.01
46,90,0.794094,0.01
46,91,0.754389,0.01
46,92,0.758319,0.01
46,93,0.762186,0.01
46,94,0.765991,0.01
46,95,0.769735,0.01
46,96,0.773419,0.01
46,97,0.777044,0.01
46,98,0.780612,0.01
46,99,0.784122,0.01
46,100,0.787576,0.01
47,1,0.50632,0.25
47,2,0.513043,0.125
47,3,0.520011,0.0625
47,4,0.527115,0.03125
47,5,0.534277,0.015625
47,6,0.541447,0.014844
47,7,0.548586,0.01
47,8,0.55567,0.01
47,9,0.562682,0.01
47,10,0.569612,0.01
47,11,0.576451,0.01
47,12,0.583194,0.01
47,13,0.58984,0.01
47,14,0.596386,0.01
47,15,0.602832,0.01
47,16,0.609179,0.01
47,17,0.57872,0.01
47,18,0.585455,0.01
47,19,0.592084,0.01
47,20,0.598608,0.01
47,21,0.605028,0.01
47,22,0.611346,0.01
47,23,0.617564,0.01
47,24,0.623682,0.01
47,25,0.629703,0.01
47,26,0.635627,0.01
47,27,0.641457,0.01
47,28,0.647194,0.01
47,29,0.652838,0.01
47,30,0.658393,0.01
47,31,0.663859,0.01
47,32,0.669237,0.01
47,33,0.674529,0.01
47,34,0.679736,0.01
47,35,0.684861,0.01
47,36,0.689903,0.01
47,37,0.694864,0.01
47,38,0.699747,0.01
47,39,0.704551,0.01
47,40,0.709278,0.01
47,41,0.713929,0.01
47,42,0.718507,0.01
47,43,0.72301,0.01
47,44,0.727442,0.01
47,45,0.731803,0.01
47,46,0.736094,0.01
47,47,0.740317,0.01
47,48,0.744472,0.01
47,49,0.74856,0.01
47,50,0.752583,0.01
47,51,0.756542,0.01
47,52,0.760437,0.01
47,53,0.76427,0.01
47,54,0.768042,0.01
47,55,0.771753,0.01
47,56,0.775405,0.01
47,57,0.736635,0.01
47,58,0.740849,0.01
47,59,0.744995,0.01
47,60,0.749075,0.01
47,61,0.75309,0.01
47,62,0.757041,0.01
47,63,0.760928,0.01
47,64,0.764753,0.01
47,65,0.768517,0.01
47,66,0.772221,0.01
47,67,0.775865,0.01
47,68,0.779451,0.01
47,69,0.78298,0.01
47,70,0.786453,0.01
47,71,0.789869,0.01
47,72,0.793231,0.01
47,73,0.79654,0.01
47,74,0.799795,0.01
47,75,0.802998,0.01
47,76,0.80615,0.01
47,77,0.809252,0.01
47,78,0.812304,0.01
47,79,0.815307,0.01
47,80,0.818262,0.01
47,81,0.777349,0.01
47,82,0.780911,0.01
47,83,0.784417,0.01
47,84,0.787866,0.01
47,85,0.79126,0.01
47,86,0.7946,0.01
47,87,0.797887,0.01
47,88,0.80112,0.01
47,89,0.804302,0.01
47,90,0.807434,0.01
47,91,0.810515,0.01
47,92,0.813546,0.01
47,93,0.81653,0.01
47,94,0.775703,0.01
