seed,round,honest_r_can,attacker_r_can,attacker_r_old
101,66,0.761398,0.01,0.712285
101,67,0.765216,0.01,0.722702
101,68,0.768972,0.01,0.733761
101,69,0.772669,0.01,0.745009
101,70,0.776306,0.01,0.713153
101,71,0.779885,0.01,0.721622
101,72,0.783407,0.01,0.731434
101,73,0.786872,0.01,0.741918
101,74,0.790282,0.01,0.752621
101,75,0.793638,0.01,0.720106
101,76,0.79694,0.01,0.728102
101,77,0.800189,0.01,0.737472
101,78,0.803386,0.01,0.747542
101,79,0.806532,0.01,0.757858
101,80,0.809627,0.01,0.724879
101,81,0.812673,0.01,0.732546
101,82,0.81567,0.01,0.741609
101,83,0.818619,0.01,0.751392
101,84,0.821522,0.01,0.761441
101,85,0.824377,0.01,0.728143
101,86,0.827187,0.01,0.735584
101,87,0.829952,0.01,0.744436
101,88,0.832673,0.01,0.754024
101,89,0.791039,0.01,0.720506
101,90,0.794383,0.01,0.683732
101,91,0.797673,0.01,0.690512
101,92,0.80091,0.01,0.699873
101,93,0.804095,0.01,0.710719
101,94,0.80723,0.01,0.722308
101,95,0.766868,0.01,0.691303
101,96,0.770598,0.01,0.700671
101,97,0.774269,0.01,0.711506
101,98,0.77788,0.01,0.723071
101,99,0.781434,0.01,0.73487
101,100,0.784931,0.01,0.703741
101,101,0.788373,0.01,0.71277
101,102,0.791759,0.01,0.723131
101,103,0.79509,0.01,0.734145
101,104,0.798369,0.01,0.745355
101,105,0.801595,0.01,0.713459
101,106,0.80477,0.01,0.721901
101,107,0.807893,0.01,0.73169
101,108,0.810967,0.01,0.742153
101,109,0.813991,0.01,0.752838
101,110,0.816968,0.01,0.720302
101,111,0.819896,0.01,0.728284
101,112,0.822778,0.01,0.737641
101,113,0.825613,0.01,0.747698
101,114,0.828404,0.01,0.758003
101,115,0.831149,0.01,0.725011
101,116,0.833851,0.01,0.732668
101,117,0.836509,0.01,0.741723
101,118,0.839125,0.01,0.751498
101,119,0.841699,0.01,0.76154
101,120,0.844232,0.01,0.728233
101,121,0.846724,0.01,0.735668
101,122,0.849176,0.01,0.744514
101,123,0.85159,0.01,0.754096
101,124,0.853964,0.01,0.763958
101,125,0.856301,0.01,0.730435
101,126,0.8586,0.01,0.737717
101,127,0.860862,0.01,0.746421
101,128,0.863089,0.01,0.755871
101,129,0.865279,0.01,0.765609
101,130,0.867435,0.01,0.73194
101,131,0.869556,0.01,0.739117
101,132,0.871643,0.01,0.747724
101,133,0.873697,0.01,0.757083
101,134,0.875717,0.01,0.766738
101,135,0.831932,0.01,0.732968
101,136,0.834621,0.01,0.740074
101,137,0.837267,0.01,0.748614
101,138,0.83987,0.01,0.757912
101,139,0.842433,0.01,0.767508
101,140,0.844954,0.01,0.73367
101,141,0.847434,0.01,0.740727
101,142,0.849875,0.01,0.749222
101,143,0.852277,0.01,0.758477
101,144,0.854641,0.01,0.768035
101,145,0.856967,0.01,0.734149
101,146,0.859255,0.01,0.741173
101,147,0.861507,0.01,0.749637
101,148,0.863723,0.01,0.758864
101,149,0.865903,0.01,0.768395
101,150,0.868049,0.01,0.734477
101,151,0.87016,0.01,0.741478
101,152,0.872238,0.01,0.749921
101,153,0.828626,0.01,0.71551
101,154,0.831368,0.01,0.722703
101,155,0.834066,0.01,0.687871
101,156,0.836721,0.01,0.695488
101,157,0.839333,0.01,0.705289
101,158,0.841904,0.01,0.716309
101,159,0.844433,0.01,0.727895
101,160,0.846923,0.01,0.696751
101,161,0.849372,0.01,0.70593
101,162,0.851782,0.01,0.716532
101,163,0.854153,0.01,0.72784
101,164,0.856487,0.01,0.739373
101,165,0.858783,0.01,0.707903
101,166,0.861043,0.01,0.716674
101,167,0.863266,0.01,0.726787
101,168,0.865454,0.01,0.737563
101,169,0.867606,0.01,0.748547
101,170,0.869725,0.01,0.716376
101,171,0.871809,0.01,0.724621
101,172,0.87386,0.01,0.734225
101,173,0.875878,0.01,0.744515
101,174,0.877864,0.01,0.755037
101,175,0.879818,0.01,0.722307
101,176,0.881741,0.01,0.730151
101,177,0.883634,0.01,0.739378
101,178,0.885495,0.01,0.749316
101,179,0.887327,0.01,0.759508
101,180,0.88913,0.01,0.726382
101,181,0.890904,0.01,0.733945
101,182,0.89265,0.01,0.742911
101,183,0.894367,0.01,0.752604
101,184,0.896057,0.01,0.762569
101,185,0.89772,0.01,0.729171
101,186,0.852834,0.01,0.69224
101,187,0.855189,0.01,0.698755
101,188,0.857506,0.01,0.70777
101,189,0.859786,0.01,0.718227
101,190,0.862029,0.01,0.686339
101,191,0.864237,0.01,0.695398
101,192,0.866409,0.01,0.70614
101,193,0.868547,0.01,0.717756
101,194,0.87065,0.01,0.7297
101,195,0.872719,0.01,0.698822
101,196,0.874756,0.01,0.708082
101,197,0.87676,0.01,0.718692
101,198,0.878732,0.01,0.729961
101,199,0.834795,0.01,0.698491
101,200,0.837438,0.01,0.663611
102,1,0.50632,0.50632,0.52079
102,2,0.513043,0.513043,0.54281
102,3,0.520011,0.520011,0.565173
102,4,0.527115,0.527115,0.587294
102,5,0.534277,0.263557,0.568735
102,6,0.541447,0.266695,0.586821
102,7,0.548586,0.269976,0.605706
102,8,0.55567,0.273341,0.624716
102,9,0.562682,0.276746,0.643414
102,10,0.569612,0.138373,0.62051
102,11,0.576451,0.139853,0.635351
102,12,0.583194,0.141401,0.65111
102,13,0.58984,0.142988,0.66714
102,14,0.596386,0.144595,0.683012
102,15,0.602832,0.072298,0.656688
102,16,0.609179,0.072989,0.669076
102,17,0.615427,0.073715,0.682536
102,18,0.621576,0.074461,0.696413
102,19,0.627628,0.075218,0.710274
102,20,0.633584,0.037609,0.681536
102,21,0.639445,0.037931,0.69221
102,22,0.607473,0.036035,0.661145
102,23,0.613753,0.036405,0.671166
102,24,0.619932,0.036786,0.68304
102,25,0.626013,0.018393,0.653242
102,26,0.631996,0.018558,0.664047
102,27,0.637884,0.018733,0.67658
