seed,round,honest,slash
42,72,0.7511178721204615,0.46855900000000006
42,73,0.7135619785144385,0.46855900000000006
42,74,0.7181449868581582,0.46855900000000006
42,75,0.7226546670683931,0.46855900000000006
42,76,0.7270921923952748,0.46855900000000006
42,77,0.7314587173169336,0.46855900000000006
42,78,0.7357553778398508,0.46855900000000006
42,79,0.7399832917944046,0.46855900000000006
42,80,0.7441435591256884,0.46855900000000006
42,81,0.7482372621796733,0.46855900000000006
42,82,0.7522654659847958,0.46855900000000006
42,83,0.756229218529037,0.46855900000000006
42,84,0.760129551032571,0.46855900000000006
42,85,0.7639674782160488,0.46855900000000006
42,86,0.7677439985645914,0.46855900000000006
42,87,0.7714600945875575,0.46855900000000006
42,88,0.7751167330741563,0.46855900000000006
42,89,0.7787148653449696,0.46855900000000006
42,90,0.7822554274994499,0.46855900000000006
42,91,0.7857393406594585,0.46855900000000006
42,92,0.789167511208907,0.46855900000000006
42,93,0.7925408310295643,0.46855900000000006
42,94,0.7958601777330914,0.46855900000000006
42,95,0.799126414889362,0.46855900000000006
42,96,0.8023403922511321,0.46855900000000006
42,97,0.805502945975114,0.46855900000000006
42,98,0.808614898839512,0.46855900000000006
42,99,0.7681841538975365,0.46855900000000006
42,100,0.7718932074351759,0.46855900000000006
42,101,0.733298547063417,0.46855900000000006
42,102,0.7375657703104024,0.46855900000000006
42,103,0.7417647179854361,0.46855900000000006
42,104,0.7458964824976689,0.46855900000000006
42,105,0.7499621387777065,0.46855900000000006
42,106,0.7539627445572632,0.46855900000000006
42,107,0.7578993406443468,0.46855900000000006
42,108,0.7617729511940372,0.46855900000000006
42,109,0.7655845839749327,0.46855900000000006
42,110,0.7693352306313337,0.46855900000000006
42,111,0.7730258669412324,0.46855900000000006
42,112,0.7766574530701728,0.46855900000000006
42,113,0.78023093382105,0.46855900000000006
42,114,0.7837472388799133,0.46855900000000006
42,115,0.7872072830578346,0.46855900000000006
42,116,0.7906119665289093,0.46855900000000006
42,117,0.7939621750644468,0.46855900000000006
42,118,0.7972587802634157,0.46855900000000006
42,119,0.800502639779201,0.46855900000000006
42,120,0.8036945975427339,0.46855900000000006
42,121,0.8068354839820501,0.46855900000000006
42,122,0.8099261162383373,0.46855900000000006
42,123,0.8129672983785239,0.46855900000000006
42,124,0.8159598216044675,0.46855900000000006
42,125,0.8189044644587959,0.46855900000000006
42,126,0.821801993027455,0.46855900000000006
42,127,0.8246531611390159,0.46855900000000006
42,128,0.8274587105607918,0.46855900000000006
42,129,0.7860857750327519,0.46855900000000006
42,130,0.7895084026322279,0.46855900000000006
42,131,0.7928762681901124,0.46855900000000006
42,132,0.7961902478990706,0.46855900000000006
42,133,0.7994512039326854,0.46855900000000006
42,134,0.8026599846697625,0.46855900000000006
42,135,0.8058174249150463,0.46855900000000006
42,136,0.8089243461164056,0.46855900000000006
42,137,0.811981556578543,0.46855900000000006
42,138,0.8149898516732863,0.46855900000000006
42,139,0.8179500140465137,0.46855900000000006
42,140,0.8208628138217694,0.46855900000000006
42,141,0.8237290088006212,0.46855900000000006
42,142,0.8265493446598112,0.46855900000000006
42,143,0.8293245551452543,0.46855900000000006
42,144,0.8320553622629301,0.46855900000000006
42,145,0.8347424764667233,0.46855900000000006
42,146,0.7930053526433871,0.46855900000000006
42,147,0.7963172670010931,0.46855900000000006
42,148,0.7995761907290755,0.46855900000000006
42,149,0.8027829716774104,0.46855900000000006
42,150,0.8059384441305717,0.46855900000000006
42,151,0.8090434290244826,0.46855900000000006
42,152,0.8120987341600909,0.46855900000000006
42,153,0.8151051544135294,0.46855900000000006
42,154,0.818063471942913,0.46855900000000006
42,155,0.8209744563918264,0.46855900000000006
42,156,0.8238388650895571,0.46855900000000006
42,157,0.8266574432481242,0.46855900000000006
42,158,0.8294309241561543,0.46855900000000006
42,159,0.8321600293696557,0.46855900000000006
42,160,0.8348454688997412,0.46855900000000006
42,161,0.8374879413973455,0.46855900000000006
42,162,0.8400881343349879,0.46855900000000006
42,163,0.8426467241856279,0.46855900000000006
42,164,0.845164376598658,0.46855900000000006
42,165,0.8476417465730794,0.46855900000000006
42,166,0.8500794786279101,0.46855900000000006
42,167,0.8524782069698636,0.46855900000000006
42,168,0.8548385556583458,0.46855900000000006
42,169,0.8120966278754287,0.46855900000000006
42,170,0.8151030818294217,0.46855900000000006
42,171,0.8180614325201511,0.46855900000000006
42,172,0.7771583608941433,0.46855900000000006
42,173,0.7807238271198372,0.46855900000000006
42,174,0.7842322458859198,0.46855900000000006
42,175,0.7876845299517451,0.46855900000000006
42,176,0.7910815774725172,0.46855900000000006
42,177,0.794424272232957,0.46855900000000006
42,178,0.7977134838772295,0.46855900000000006
42,179,0.800950068135194,0.46855900000000006
42,180,0.8041348670450308,0.46855900000000006
42,181,0.8072687091723104,0.46855900000000006
42,182,0.8103524098255533,0.46855900000000006
42,183,0.8133867712683445,0.46855900000000006
42,184,0.8163725829280508,0.46855900000000006
42,185,0.819310621601202,0.46855900000000006
42,186,0.8222016516555829,0.46855900000000006
42,187,0.8250464252290935,0.46855900000000006
42,188,0.8278456824254281,0.46855900000000006
42,189,0.8306001515066213,0.46855900000000006
42,190,0.8333105490825152,0.46855900000000006
42,191,0.8359775802971952,0.46855900000000006
42,192,0.83860193901244,0.46855900000000006
42,193,0.841184307988241,0.46855900000000006
42,194,0.8437253590604291,0.46855900000000006
42,195,0.8462257533154622,0.46855900000000006
42,196,0.8486861412624147,0.46855900000000006
42,197,0.8511071630022162,0.46855900000000006
42,198,0.8534894483941807,0.46855900000000006
42,199,0.8558336172198737,0.46855900000000006
42,200,0.8581402793443559,0.46855900000000006
43,1,0.5063199999999999,0.0
43,2,0.5130428800000001,0.0
43,3,0.5200109939199999,0.0
43,4,0.5271145780172798,0.0
43,5,0.5342773767690033,0.0
43,6,0.5414465811406994,0.1
43,7,0.5485857855224482,0.1
43,8,0.555670057730089,0.1
43,9,0.5278865548435847,0.1
43,10,0.5353435213092872,0.1
43,11,0.5427102309085787,0.1
43,12,0.5499794113722094,0.19
43,13,0.5571465217009716,0.19
43,14,0.5642089239912583,0.19
43,15,0.5711653038536497,0.19
43,16,0.5780152648443675,0.19
43,17,0.5847590447035209,0.19
43,18,0.5913973168559289,0.271
43,19,0.5979310515935989,0.271
43,20,0.6043614190332569,0.271
43,21,0.6106897213143336,0.271
43,22,0.6169173452632305,0.271
43,23,0.6230457293819672,0.271
43,24,0.6290763408619194,0.34390000000000004
43,25,0.6350106596131734,0.34390000000000004
43,26,0.6408501672028939,0.34390000000000004
43,27,0.6465963392281193,0.34390000000000004
43,28,0.6522506400908,0.34390000000000004
43,29,0.6578145194525782,0.34390000000000004
